Trait ExternalTrait jf_p p_cor p_cor_se nonp_cor nonp_cor_se
PTSD Risk_beh_composite 0.05494940188124637 0.214 0.053 0.0348 0.0828
PTSD Smoking_cessation 0.5251044275633897 0.4114 0.0614 0.3419 0.1241
PTSD Speeding_propensity 0.13402922297369035 -0.2377 0.0623 -0.0698 0.0992
PTSD Tiredness 0.0023372258461086515 0.7194 0.096 0.1547 0.1567
PTSD Waist_to_hip_ratio 0.9218204396908539 0.3122 0.0422 0.3298 0.0933
PTSD backpain 0.17145965366609683 0.487 0.0708 0.3047 0.1243
PTSD birth_weight 0.7695375452801432 -0.1198 0.058 -0.0935 0.1168
PTSD chronotype 0.2055401094680568 0.0293 0.0469 0.1752 0.0928
PTSD cigday 0.614272778876898 0.3463 0.0617 0.2977 0.115
PTSD drinkweek 0.032661851983708814 -0.0576 0.0524 -0.2964 0.106
PTSD environmentalstress 0.0012245612973898067 0.4419 0.0591 0.1141 0.0893
PTSD ever_smoker 0.004784391130171196 0.3969 0.0518 0.1346 0.0843
PTSD executivefunctioning 0.00303693701000301 -0.2358 0.0535 0.1069 0.0947
PTSD externalizing 0.005755171860628281 0.4789 0.0547 0.2394 0.0844
PTSD household_income 0.25999348760102403 -0.4397 0.0627 -0.2931 0.1089
PTSD insomnia 0.32881306998937776 0.4737 0.0653 0.3601 0.12
PTSD intelligence2 0.07180800976094873 -0.1799 0.0493 0.0103 0.0834
PTSD internalizing 0.37993092083834545 0.7713 0.1637 0.5665 0.2868
PTSD lonelines 0.35629669034483435 0.7682 0.0754 0.6351 0.162
PTSD longevity 0.8567395295676177 -0.4914 0.0724 -0.4856 0.145
PTSD neighbourhood_deprivation 0.18023089269316606 0.5873 0.1048 0.3601 0.186
PTSD neurodegenerative 0.490705539249362 -0.22 0.0919 -0.3761 0.1792
PTSD no_sexual_partners 0.038377854546024465 0.372 0.0511 0.1804 0.086
PTSD noncog 0.025309994425678477 -0.1442 0.051 0.0667 0.0818
PTSD risk_tolerance 0.20782968207555752 0.3526 0.0542 0.2233 0.1012
PTSD selfrated_health 0.048576672145365894 0.687 0.0786 0.4028 0.141
PTSD sleepduration 0.5283746368384801 -0.2302 0.0611 -0.3288 0.1125
PTSD subjective_wellbeing 0.027214956531300294 -0.7126 0.1016 -0.3053 0.171
SCZ Age_at_smoking_initiation 0.0016998153977055544 -0.063 0.0271 0.0694 0.0309
SCZ CUD 0.017462180163639585 0.3456 0.037 0.1909 0.0487
SCZ Childhood_IQ 0.5399729220463871 -0.0226 0.0531 0.0211 0.0651
SCZ EA4 0.003822584349861882 0.0236 0.0177 0.107 0.0235
SCZ Menopause 0.2795371512608422 -0.0247 0.033 0.0246 0.0443
SCZ Metabolic_Syndrome 0.008712969717976369 -0.0959 0.018 -0.1801 0.0249
